"date" "symbol" "open" "high" "low" "close" "carry" "dpp"
"2014-01-06" "CL" 93.97 94.29 93.23 93.42 0.0194097 1000
"2014-01-06" "GD" 626.25 627.7 623 625.9 0.0116725 250
"2014-01-06" "HO" 2.9777 2.9924 2.946 2.9715 -0.0737169 42000
"2014-01-06" "JKE" 83710 83710 79240 79620 -0.0566205 0.47836
"2014-01-06" "NG" 3.906 4.003 3.893 3.927 -0.084884 10000
"2014-01-06" "OIL" 111.94 112.67 111.5 111.94 -0.0413987 1000
"2014-01-06" "RB" 2.9316 2.9349 2.906 2.9245 0.0702552 42000
"2014-01-06" "ULS" 918.75 923.75 911.75 918.25 -0.0212267 100
"2014-01-07" "CL" 93.43 93.62 92.67 93.37 0.0181264 1000
"2014-01-07" "GD" 625.9 626.55 625.2 626.1 0 250
"2014-01-07" "HO" 2.9715 2.9768 2.9447 2.9636 -0.073017 42000
"2014-01-07" "JKE" 79590 79640 78510 78910 -0.0667359 0.47774
"2014-01-07" "NG" 3.926 4.043 3.879 3.982 -0.0868153 10000
"2014-01-07" "OIL" 111.94 112.23 111.29 111.87 -0.0402055 1000
"2014-01-07" "RB" 2.9246 2.936 2.9023 2.9324 0.0545184 42000
"2014-01-07" "ULS" 918.25 920 911.25 916.25 -0.0151952 100
"2014-01-08" "CL" 93.37 93.69 92.32 92.75 0.0234526 1000
"2014-01-08" "GD" 626.1 627.55 623.3 623.3 0.0495084 250
"2014-01-08" "HO" 2.9638 2.9818 2.9544 2.9715 -0.0728414 42000
"2014-01-08" "JKE" 78910 79350 78700 78820 -0.0126963 0.476885
"2014-01-08" "NG" 3.982 4.005 3.875 3.913 -0.0973727 10000
"2014-01-08" "OIL" 111.87 112.66 111.64 112.2 -0.0498173 1000
"2014-01-08" "RB" 2.9324 2.949 2.9131 2.9266 0.0521985 42000
"2014-01-08" "ULS" 916 922.5 914.5 918.5 -0.0181868 100
"2014-01-09" "CL" 92.75 92.76 91.59 91.7 0.0289871 1000
"2014-01-09" "GD" 623.3 623.55 620.25 620.4 0.00634339 250
"2014-01-09" "HO" 2.9718 2.9785 2.955 2.9579 -0.0776321 42000
"2014-01-09" "JKE" 78820 79630 78440 78980 -0.0882635 0.47721
"2014-01-09" "NG" 3.914 3.934 3.74 3.773 -0.0911922 10000
"2014-01-09" "OIL" 112.19 112.91 111.73 112.19 -0.0571343 1000
"2014-01-09" "RB" 2.9268 2.9457 2.9134 2.9272 0.0599725 42000
"2014-01-09" "ULS" 918.5 921 914 914.75 -0.0121779 100
"2014-01-10" "CL" 91.7 92.85 90.71 91.76 0.0302834 1000
"2014-01-10" "GD" 620.4 620.4 615.25 617.7 0.00546158 250
"2014-01-10" "HO" 2.9578 2.9578 2.9154 2.9235 -0.0672917 42000
"2014-01-10" "JKE" 78980 78980 77840 77870 -0.0709788 0.480085
"2014-01-10" "NG" 3.773 3.773 3.566 3.655 -0.0743883 10000
"2014-01-10" "OIL" 112.18 112.18 110.77 111 -0.0626984 1000
"2014-01-10" "RB" 2.9271 2.9321 2.8915 2.9025 0.0585632 42000
"2014-01-10" "ULS" 914.75 915.25 903.5 906.75 -0.0795951 100
"2014-01-13" "CL" 91.76 92.36 91.12 91.5 0.0303688 1000
"2014-01-13" "GD" 617.7 621.3 617.2 619.65 0.015418 250
"2014-01-13" "HO" 2.9231 2.9626 2.9159 2.9589 -0.0837742 42000
"2014-01-13" "JKE" 77900 78250 77790 77880 -0.0709788 0.483945
"2014-01-13" "NG" 3.655 3.857 3.643 3.849 -0.105053 10000
"2014-01-13" "OIL" 110.98 112.1 110.74 111.78 -0.0925732 1000
"2014-01-13" "RB" 2.9025 2.9408 2.8928 2.9189 0.0508578 42000
"2014-01-13" "ULS" 906.75 917.5 904.5 915.5 -0.0467733 100
"2014-01-14" "CL" 91.51 92.27 90.9 91.69 0.0329381 1000
"2014-01-14" "GD" 619.65 620.5 618.2 618.2 -0.0190692 250
"2014-01-14" "HO" 2.9589 2.9604 2.9335 2.934 -0.104274 42000
"2014-01-14" "JKE" 77380 77620 77050 77350 0.00285477 0.48242
"2014-01-14" "NG" 3.849 3.966 3.821 3.915 -0.136851 10000
"2014-01-14" "OIL" 111.79 111.83 110.71 110.71 -0.102087 1000
"2014-01-14" "RB" 2.9193 2.9203 2.8671 2.8671 0.0732387 42000
"2014-01-14" "ULS" 915.5 915.75 907 907.25 -0.0544949 100
"2014-01-15" "CL" 91.69 93.54 91.43 93.53 0.0245517 1000
"2014-01-15" "GD" 618.2 623.75 617.35 623.75 0.0279547 250
"2014-01-15" "HO" 2.9337 2.9976 2.9276 2.9926 -0.164455 42000
"2014-01-15" "JKE" 77290 78710 77210 78690 -0.0421154 0.47866
"2014-01-15" "NG" 3.916 4.027 3.911 3.981 -0.150044 10000
"2014-01-15" "OIL" 110.71 111.64 110.2 111.55 -0.102509 1000
"2014-01-15" "RB" 2.8671 2.9008 2.8585 2.8952 0.0710502 42000
"2014-01-15" "ULS" 907 920.5 905.25 919.5 -0.0717317 100
"2014-01-16" "CL" 93.53 94.11 93.07 93.34 0.0207269 1000
"2014-01-16" "GD" 623.75 625.4 623.6 623.6 -0.00990489 250
"2014-01-16" "HO" 2.9935 3.0084 2.9755 2.9936 -0.218041 42000
"2014-01-16" "JKE" 78690 79020 78300 78450 -0.0578462 0.4797
"2014-01-16" "NG" 3.98 4.108 3.929 4.023 -0.151632 10000
